Team,Player
CSK,"Ruturaj Gaikwad (c)"
CSK,"MS Dhoni"
CSK,"Ravindra Jadeja"
CSK,"Shivam Dube"
CSK,"Matheesha Pathirana"
CSK,"Noor Ahmad"
CSK,"Ravichandran Ashwin"
CSK,"Devon Conway"
CSK,"Syed Khaleel Ahmed"
CSK,"Rachin Ravindra"
CSK,"Rahul Tripathi"
CSK,"Vijay Shankar"
CSK,"Sam Curran"
CSK,"Shaik Rashid"
CSK,"Anshul Kamboj"
CSK,"Mukesh Choudhary"
CSK,"Deepak Hooda"
CSK,"Gurjanpreet Singh"
CSK,"Nathan Ellis"
CSK,"Jamie Overton"
CSK,"Kamlesh Nagarkoti"
CSK,"Ramakrishnan Ghosh"
CSK,"Shreyas Gopal"
CSK,"Vansh Bedi"
CSK,"Andre Siddarth"
DC,"KL Rahul"
DC,"Jake Fraser-McGurk"
DC,"Karun Nair"
DC,"Abhishek Porel"
DC,"Tristian Stubbs"
DC,"Axar Patel"
DC,"Kuldeep Yadav"
DC,"T Natrajan"
DC,"Mitchell Starc"
DC,"Sameer Rizvi"
DC,"Ashutosh Sharma"
DC,"Mohit Sharma"
DC,"Faf du Plessis"
DC,"Mukesh Kumar"
DC,"Darshan Nalkande"
DC,"Vipraj Nigam"
DC,"Dushmanta Chameera"
DC,"Donovan Ferreira"
DC,"Ajay Mandal"
DC,"Manvanth Kumar"
DC,"Tripurana Vijay"
DC,"Madhav Tiwari"
GT,"Shubman Gill (c)"
GT,"Jos Buttler"
GT,"B. Sai Sudharshan"
GT,"Shahrukh Khan"
GT,"Kagiso Rabada"
GT,"Mohammed Siraj"
GT,"Prasidh Krishna"
GT,"Rahul Tewatia"
GT,"Rashid Khan"
GT,"Nishant Sindhu"
GT,"Mahipal Lomror"
GT,"Kumar Kushagra"
GT,"Anuj Rawat"
GT,"Manav Suthar"
GT,"Washington Sundar"
GT,"Gerald Coetzee"
GT,"Mohmmad Arshad Khan"
GT,"Gurnoor Singh Brar"
GT,"Sherfane Rutherford"
GT,"R. Sai Kishore"
GT,"Ishant Sharma"
GT,"Jayant Yadav"
GT,"Glenn Phillips"
GT,"Kareem Janat"
GT,"Kulwant Khejroliya"
KKR,"Ajinkya Rahane (c)"
KKR,"Rinku Singh"
KKR,"Quinton de Kock"
KKR,"Rahmanullah Gurbaz"
KKR,"Angkrish Raghuvanshi"
KKR,"Venkatesh Iyer"
KKR,"Ramandeep Singh"
KKR,"Andre Russell"
KKR,"Anrich Nortje"
KKR,"Harshit Rana"
KKR,"Sunil Narine"
KKR,"Varun Chakaravarthy"
KKR,"Vaibhav Arora"
KKR,"Mayank Markande"
KKR,"Rovman Powell"
KKR,"Manish Pandey"
KKR,"Spencer Johnson"
KKR,"Luvnith Sisodia"
KKR,"Anukul Roy"
KKR,"Moeen Ali"
KKR,"Chetan Sakariya"
MI,"Hardik Pandya (c)"
MI,"Jasprit Bumrah"
MI,"Rohit Sharma"
MI,"Tilak Verma"
MI,"Trent Boult"
MI,"Naman Dhir"
MI,"Robin Minz"
MI,"Karn Sharma"
MI,"Ryan Rickelton"
MI,"Deepak Chahar"
MI,"Will Jacks"
MI,"Ashwani Kumar"
MI,"Mitchell Santner"
MI,"Reece Topley"
MI,"Shrijith Krishnan"
MI,"Raj Angad Bawa"
MI,"Venkat Satyanarayana Raju"
MI,"Bevon Jacobs"
MI,"Arjun Tendulkar"
MI,"Vignesh Puthhur"
MI,"Suryakumar Yadav"
MI,"Mujeeb-ur-Rahman"
MI,"Corbin Bosch"
LSG,"Rishabh Pant (c)"
LSG,"David Miller"
LSG,"Aiden Markram"
LSG,"Nicholas Pooran"
LSG,"Mitchell Marsh"
LSG,"Avesh Khan"
LSG,"Mayank Yadav"
LSG,"Mohsin Khan"
LSG,"Ravi Bisnoi"
LSG,"Abdul Samad"
LSG,"Aryan Juyal"
LSG,"Akash Deep"
LSG,"Himmat Singh"
LSG,"M Siddharth"
LSG,"Digvesh Singh"
LSG,"Shahbaz Ahmed"
LSG,"Akash Singh"
LSG,"Shamar Joseph"
LSG,"Prince Yadav"
LSG,"Yuvraj Chaudhary"
LSG,"Rajvardhan Hangargekar"
LSG,"Arshin Kulkarni"
LSG,"Matthew Breetzke"
PBKS,"Shreyas Iyer (c)"
PBKS,"Yuzvendra Chahal"
PBKS,"Arshdeep Singh"
PBKS,"Marcus Stoinis"
PBKS,"Glenn Maxwell"
PBKS,"Shashank Singh"
PBKS,"Prabhsimran Singh"
PBKS,"Harpreet Brar"
PBKS,"Vijaykumar Vyshak"
PBKS,"Yash Thakur"
PBKS,"Marco Jansen"
PBKS,"Josh Inglis"
PBKS,"Lockie Ferguson"
PBKS,"Azmatullah Omarzai"
PBKS,"Harnoor Pannu"
PBKS,"Kuldeep Sen"
PBKS,"Priyansh Arya"
PBKS,"Aaron Hardie"
PBKS,"Musheer Khan"
PBKS,"Suryansh Shedge"
PBKS,"Xavier Bartlett"
PBKS,"Pyla Avinash"
PBKS,"Pravin Dubey"
PBKS,"Nehal Wadhera"
RR,"Sanju Samson (c)"
RR,"Yashasvi Jaiswal"
RR,"Riyan Parag"
RR,"Dhruv Jurel"
RR,"Shimron Hetmyer"
RR,"Sandeep Sharma"
RR,"Jofra Archer"
RR,"Wainindu Hasaranga"
RR,"Maheesh Theekshana"
RR,"Akash Madhwal"
RR,"Kumar Kartikeya Singh"
RR,"Nitish Rana"
RR,"Tushar Deshpande"
RR,"Shubham Dubey"
RR,"Yudhvir Charak"
RR,"Fazal Farooqi"
RR,"Vaibhav Suryavanshi"
RR,"Kwena Maphaka"
RR,"Kunal Rathore"
RR,"Ashok Sharma"
RCB,"Rajat Patidar (c)"
RCB,"Virat Kohli"
RCB,"Yash Dayal"
RCB,"Josh Hazlewood"
RCB,"Phil Salt"
RCB,"Jitesh Sharma"
RCB,"Liam Livingstone"
RCB,"Rasikh Dar"
RCB,"Suyash Sharma"
RCB,"Krunal Pandya"
RCB,"Bhuvneshwar Kumar"
RCB,"Swapnil Singh"
RCB,"Tim David"
RCB,"Romario Shepherd"
RCB,"Nuwan Thushara"
RCB,"Manoj Bhandage"
RCB,"Jacob Bethel"
RCB,"Devdutt Padikkal"
RCB,"Swastik Chhikara"
RCB,"Lungi Ngidi"
RCB,"Abhinandan Singh"
RCB,"Mohit Rathee"
SRH,"Pat Cummins (c)"
SRH,"Travis Head"
SRH,"Abhishek Sharma"
SRH,"Heinrich Klassen"
SRH,"Nitish Reddy"
SRH,"Ishan Kishan"
SRH,"Mohammad Shami"
SRH,"Harshal Patel"
SRH,"Rahul Chahar"
SRH,"Adam Zampa"
SRH,"Atharva Taide"
SRH,"Abhinav Manohar"
SRH,"Simarjeet Singh"
SRH,"Zeeshan Ansari"
SRH,"Jaydev Unadkat"
SRH,"Kamindu Mendis"
SRH,"Aniket Verma"
SRH,"Eshan Malinga"
SRH,"Sachin Baby"
SRH,"Wiaan Mulder"